date,WI_1,WI_2,WI_3
2011-01-29,6454.72,5451.46,9367.88
2011-01-30,5645.77,4636.86,9868.8
2011-01-31,3640.12,4621.58,7551.65
2011-02-01,2949.96,5754.75,7181.53
2011-02-02,2.96,2679.19,4646.31
2011-02-03,4584.89,5250.77,10036.37
2011-02-04,5925.37,5552.65,10054.75
2011-02-05,7852.61,6342.72,12804.71
2011-02-06,4030.75,4772.57,11085.5
2011-02-07,3788.93,4688.76,7818.83
2011-02-08,3578.48,4024.12,7837.78
2011-02-09,3823.02,4954.99,8145.82
2011-02-10,3789.9900000000002,4724.16,7831.38
2011-02-11,5706.64,5518.13,9722.92
2011-02-12,7081.01,6007.37,12871.03
2011-02-13,5930.25,6153.61,12728.77
2011-02-14,4233.86,3930.46,7709.62
2011-02-15,3735.15,5357.41,9149.56
2011-02-16,3898.83,4341.5,7680.4400000000005
2011-02-17,4260.88,4684.15,7749.04
2011-02-18,5325.99,5103.2,8844.98
2011-02-19,7269.88,5655.45,10751.52
2011-02-20,3804.05,4378.82,8106.27
2011-02-21,2529.23,3739.07,6380.12
2011-02-22,3084.69,3454.59,6354.15
2011-02-23,3705.03,4622.56,6859.33
2011-02-24,3935.63,4119.24,6401.62
2011-02-25,5156.45,4198.68,7682.28
2011-02-26,6327.69,5327.42,9004.97
2011-02-27,5236.99,4394.63,9306.85
2011-02-28,4040.03,4118.63,6846.32
2011-03-01,4122.21,4552.36,7764.53
2011-03-02,3553.84,4529.37,8592.28
2011-03-03,4091.21,5216.52,9236.21
2011-03-04,4476.08,4531.73,8196.77
2011-03-05,5435.49,5566.16,10951.26
2011-03-06,5413.84,5083.65,11402.09
2011-03-07,3848.77,4487.4,7805.78
2011-03-08,3697.88,4811.78,7701.52
2011-03-09,3093.65,3957.53,7251.02
2011-03-10,4085.65,4279.51,7564.97
2011-03-11,5165.46,4335.5,8880.25
2011-03-12,6145.43,5936.82,11151.39
2011-03-13,5158.6,4562.61,10062.48
2011-03-14,3658.69,4439.99,8779.12
2011-03-15,4079.82,4534.93,8487.35
2011-03-16,4293.6,4218.69,7069.26
2011-03-17,3571.52,3786.34,6532.84
2011-03-18,4956.81,4442.21,8151.34
2011-03-19,6262.01,5199.64,9529.96
2011-03-20,4253.95,4063.63,8661.44
2011-03-21,3861.83,3610.52,7156.84
2011-03-22,3445.75,3639.6,5535.05
2011-03-23,3166.7,3456.11,5788.15
2011-03-24,3863.7,3593.02,5942.7
2011-03-25,4728.1,3639.7,7118.77
2011-03-26,5972.6,4718.63,9206.88
2011-03-27,5196.35,4018.15,8530.81
2011-03-28,3746.12,3388.79,6353.22
2011-03-29,3409.59,3626.46,6442.52
2011-03-30,4109.23,3376.83,4610.63
2011-03-31,4039.56,4291.3,5577.76
2011-04-01,5369.83,5434.41,9078.85
2011-04-02,7039.85,6443.05,11501.27
2011-04-03,5164.08,4602.87,10507.35
2011-04-04,3489.37,4090.46,7671.4
2011-04-05,3812.32,4194.13,7698.46
2011-04-06,3692.94,3743.74,7572.25
2011-04-07,3338.81,3693.52,6113.77
2011-04-08,4430.93,4505.6,8378.5
2011-04-09,5705.49,5368.58,10942.35
2011-04-10,4553.75,3603.89,8783.62
2011-04-11,3748.28,3989.41,7896.72
2011-04-12,3894.85,4725.16,7800.4
2011-04-13,3729.82,3369.12,6499.56
2011-04-14,3954.31,4144.62,7335.15
2011-04-15,4335.33,4077.03,8749.55
2011-04-16,5846.21,5431.67,9666.07
2011-04-17,4901.94,3920.13,9309.1
2011-04-18,3411.63,3678.49,6828.58
2011-04-19,3033.48,3108.77,5257.55
2011-04-20,4010.18,3502.62,6291.3
2011-04-21,4169.91,3605.34,5949.18
2011-04-22,4940.1,4225.02,7523.76
2011-04-23,5358.51,4393.6,9503.73
2011-04-24,2687.26,2508.81,6690.13
2011-04-25,3580.7,3282.57,6242.08
2011-04-26,3331.33,3155.79,4902.36
2011-04-27,3568.81,3472.78,5201.14
2011-04-28,3865.0099999999998,3414.25,5867.06
2011-04-29,5223.14,4492.7300000000005,8281.1
2011-04-30,6020.43,5429.69,9085.65
2011-05-01,5024.46,4457.29,7933.37
2011-05-02,3694.16,3827.85,8096.32
2011-05-03,3812.93,4448.31,8372.16
2011-05-04,3680.41,3994.7400000000002,6628.04
2011-05-05,3771.42,3453.71,6964.2300000000005
2011-05-06,4183.18,3619.24,7967.74
2011-05-07,5864.83,4460.3,8983.39
2011-05-08,3562.83,3370.61,6784.6
2011-05-09,3477.06,3921.55,7883.15
2011-05-10,3695.94,3657.62,6407.05
2011-05-11,3957.31,3684.71,7242.73
2011-05-12,4023.53,4355.54,7506.47
2011-05-13,4986.06,3926.07,8209.54
2011-05-14,5600.77,4849.63,9649.68
2011-05-15,5231.75,4369.01,10931.17
2011-05-16,3485.71,3538.92,7464.17
2011-05-17,3704.97,3361.34,6339.2
2011-05-18,3803.5,3532.88,5667.86
2011-05-19,3464.29,3084.14,5843.9
2011-05-20,4304.26,3794.66,7005.69
2011-05-21,5487.36,4647.71,8071.66
2011-05-22,3916.72,3076.94,7138.42
2011-05-23,3723.27,3331.28,6271.73
2011-05-24,3757.4900000000002,3250.66,5791.11
2011-05-25,3442.81,2968.36,4797.09
2011-05-26,3967.1,3942.08,6033.41
2011-05-27,4291.92,3953.73,7276.08
2011-05-28,5101.5,4198.05,7536.72
2011-05-29,4082.12,3031.04,6948.43
2011-05-30,3400.09,3128.51,5967.02
2011-05-31,3902.73,4027.35,5987.18
2011-06-01,3971.55,4670.24,7009.76
2011-06-02,4087.16,4205.43,8102.59
2011-06-03,5132.88,5071.88,8584.34
2011-06-04,5433.16,5253.55,9541.84
2011-06-05,4594.89,5259.83,11221.15
2011-06-06,4248.57,4829.37,8888.2
2011-06-07,4053.8,5224.38,8328.63
2011-06-08,3608.01,4804.64,8410.2
2011-06-09,4108.88,4590.12,8481.17
2011-06-10,4556.49,4342.16,8001.04
2011-06-11,5915.05,5246.45,9707.5
2011-06-12,4596.24,4525.04,9523.9
2011-06-13,3807.56,3823.45,8093.37
2011-06-14,4176.34,4404.75,8150.0
2011-06-15,4224.44,4443.8,8749.43
2011-06-16,4245.78,3892.2400000000002,7230.18
2011-06-17,4552.83,4028.13,7973.53
2011-06-18,5474.49,4405.33,8058.79
2011-06-19,4521.79,3621.19,7676.96
2011-06-20,3992.64,3733.72,6584.0
2011-06-21,3548.28,3604.44,6291.25
2011-06-22,4384.11,3807.04,6160.94
2011-06-23,4266.56,3701.37,6425.25
2011-06-24,4656.02,4327.85,7296.46
2011-06-25,4926.72,4315.63,7283.65
2011-06-26,4450.36,3482.88,7277.37
2011-06-27,3757.7,3420.32,6250.96
2011-06-28,3832.38,3425.48,5512.1
2011-06-29,3554.59,3408.2,5368.3
2011-06-30,4237.84,3893.42,6421.87
2011-07-01,5610.95,5797.94,9450.6
2011-07-02,5688.69,4954.66,10433.82
2011-07-03,3953.28,3958.58,8943.56
2011-07-04,2626.42,2711.56,5943.57
2011-07-05,4072.09,3742.86,8242.09
2011-07-06,4319.86,4723.13,8825.9
2011-07-07,4112.75,4492.94,7736.21
2011-07-08,5230.7,4693.37,8769.44
2011-07-09,5955.33,5541.41,10321.86
2011-07-10,4889.25,4624.41,9233.02
2011-07-11,3718.7,4460.79,9468.07
2011-07-12,4123.12,4813.63,9302.5
2011-07-13,4026.9700000000003,4202.69,7154.21
2011-07-14,3816.54,4515.34,7865.92
2011-07-15,4845.1900000000005,5331.33,9910.19
2011-07-16,5641.28,5025.2,9657.05
2011-07-17,4824.52,4308.82,9211.67
2011-07-18,3933.27,4134.11,7839.62
2011-07-19,3742.27,4314.06,7415.77
2011-07-20,3833.84,3940.79,6450.9
2011-07-21,4132.22,3930.88,7043.68
2011-07-22,4737.52,4390.6,8482.4
2011-07-23,5686.95,4866.94,8583.69
2011-07-24,4372.99,3885.45,8283.19
2011-07-25,3649.88,3594.07,6517.52
2011-07-26,3730.4900000000002,3961.17,6143.05
2011-07-27,3768.14,3353.1,5231.38
2011-07-28,4184.55,3666.99,6282.16
2011-07-29,4508.17,4226.25,7730.57
2011-07-30,5285.86,4792.63,9069.82
2011-07-31,4627.88,4189.83,8180.05
2011-08-01,3977.52,4552.05,8028.21
2011-08-02,4112.2300000000005,4738.77,8799.08
2011-08-03,3999.12,5058.45,9822.52
2011-08-04,3727.4,4040.68,6680.52
2011-08-05,4167.95,4569.42,8110.99
2011-08-06,5046.36,4619.66,10359.4
2011-08-07,4601.74,3913.09,9719.32
2011-08-08,3340.62,4040.28,8859.73
2011-08-09,3959.97,4399.62,8783.15
2011-08-10,3854.32,4029.05,7124.58
2011-08-11,3895.25,4290.58,8293.94
2011-08-12,4206.97,4423.44,10216.13
2011-08-13,5492.83,4449.91,9516.83
2011-08-14,4551.37,4108.46,10377.07
2011-08-15,3962.6,4297.71,9082.33
2011-08-16,3731.97,3803.18,7505.11
2011-08-17,3982.62,3719.36,6702.95
2011-08-18,3574.51,3532.04,6266.15
2011-08-19,4574.59,3977.41,8309.78
2011-08-20,5071.41,4741.01,8359.27
2011-08-21,4301.64,4145.74,8285.9
2011-08-22,3394.64,3858.92,7224.88
2011-08-23,3765.21,3689.13,6322.67
2011-08-24,4114.34,3998.81,6057.11
2011-08-25,3972.11,3690.58,6194.3
2011-08-26,4264.12,4198.18,7470.21
2011-08-27,5273.04,4962.72,8235.03
2011-08-28,4131.33,4425.41,7437.2
2011-08-29,3712.35,3608.84,6121.67
2011-08-30,3924.12,3684.53,5313.76
2011-08-31,4902.71,4255.35,6591.22
2011-09-01,4445.68,4978.32,7456.26
2011-09-02,5248.64,5430.9800000000005,10465.23
2011-09-03,5532.97,4826.7300000000005,10866.87
2011-09-04,4050.71,4091.65,8152.54
2011-09-05,4033.7400000000002,4327.63,9202.88
2011-09-06,3926.64,4722.9800000000005,9021.03
2011-09-07,3655.48,3807.7599999999998,6959.8
2011-09-08,3423.83,4141.0199999999995,8228.73
2011-09-09,4390.95,4695.45,9559.19
2011-09-10,5867.34,5452.22,10102.18
2011-09-11,4999.79,5026.04,11383.69
2011-09-12,4212.05,4110.32,9131.96
2011-09-13,3625.42,3733.04,7159.93
2011-09-14,3652.61,4463.89,8567.37
2011-09-15,4654.95,4586.87,9822.63
2011-09-16,4895.01,4457.53,9165.19
2011-09-17,6490.09,5019.66,10170.7
2011-09-18,4131.82,4198.72,9728.710000000001
2011-09-19,3726.71,3374.03,6665.36
2011-09-20,3523.57,3751.19,6122.64
2011-09-21,4014.17,3704.08,6258.6
2011-09-22,4227.02,3606.82,6523.64
2011-09-23,4813.11,4068.35,7755.46
2011-09-24,5771.47,4207.27,9497.97
2011-09-25,4708.44,3649.97,9420.6
2011-09-26,3471.36,3293.03,6768.49
2011-09-27,3589.38,3565.73,5951.08
2011-09-28,3727.9,3982.03,5940.86
2011-09-29,3904.09,3848.92,6233.54
2011-09-30,5796.37,4901.81,9777.89
2011-10-01,6399.5,5955.04,11030.1
2011-10-02,4870.06,5427.55,11795.3
2011-10-03,4208.37,4682.24,11042.26
2011-10-04,3869.99,4125.16,6769.78
2011-10-05,3899.71,4089.0,8452.08
2011-10-06,3679.86,4100.6,9448.14
2011-10-07,4287.12,4112.09,8565.18
2011-10-08,6062.54,5200.6,11481.02
2011-10-09,5000.8,4688.4,13451.61
2011-10-10,3414.86,3828.56,8527.47
2011-10-11,4015.25,3991.7,8577.45
2011-10-12,3881.01,4361.66,9831.26
2011-10-13,4029.65,4007.07,7596.18
2011-10-14,5199.27,5243.54,10481.32
2011-10-15,6662.79,5615.04,13727.38
2011-10-16,4861.43,4782.83,11142.48
2011-10-17,4061.4900000000002,4020.36,8015.46
2011-10-18,3975.19,3702.23,7137.4
2011-10-19,3840.38,3167.41,6187.49
2011-10-20,4069.36,3100.4,6383.77
2011-10-21,4695.93,3899.95,8132.48
2011-10-22,5685.88,4509.54,9596.29
2011-10-23,4850.5,3895.12,8895.01
2011-10-24,3559.0299999999997,3174.62,6959.59
2011-10-25,3553.42,3307.78,6501.55
2011-10-26,4251.36,3519.25,6067.28
2011-10-27,4179.72,3801.38,6398.56
2011-10-28,5287.99,4698.2,8553.67
2011-10-29,6257.24,4503.23,9546.25
2011-10-30,4445.95,3745.38,8094.55
2011-10-31,3709.15,3755.37,6673.19
2011-11-01,4370.05,4955.33,8184.51
2011-11-02,3418.97,4299.13,8394.36
2011-11-03,4041.32,5302.11,9960.62
2011-11-04,4841.19,4603.62,9017.41
2011-11-05,6291.18,5645.69,12103.33
2011-11-06,4776.43,4771.57,13202.16
2011-11-07,3517.17,3250.75,7512.13
2011-11-08,3720.48,3727.78,8166.1
2011-11-09,3527.43,3643.68,8873.05
2011-11-10,3967.4,4168.54,8254.99
2011-11-11,4772.3,3990.09,9711.8
2011-11-12,5892.57,5647.65,12398.96
2011-11-13,4929.89,4440.78,11537.81
2011-11-14,3584.01,4074.85,8916.46
2011-11-15,3775.42,4679.02,9598.13
2011-11-16,4279.57,3722.56,7270.4
2011-11-17,2989.12,3538.82,7158.58
2011-11-18,4849.33,4059.45,8095.15
2011-11-19,5715.99,4753.19,9591.1
2011-11-20,4422.68,3813.05,9921.38
2011-11-21,3635.81,3149.56,6563.67
2011-11-22,4043.78,3335.51,7093.43
2011-11-23,4114.63,4060.6,8269.21
2011-11-24,1506.32,1644.34,5683.99
2011-11-25,4633.5,4108.2,6581.68
2011-11-26,5638.8,3779.5,7015.32
2011-11-27,4495.24,3830.75,7450.98
2011-11-28,3738.42,3768.4700000000003,6179.93
2011-11-29,3747.69,3350.58,6320.49
2011-11-30,3728.61,3463.94,5862.87
2011-12-01,4272.92,5131.58,7488.2
2011-12-02,5028.09,5158.69,10579.76
2011-12-03,6071.25,5800.15,12731.93
2011-12-04,5348.93,4609.58,10679.2
2011-12-05,4649.89,4531.38,9634.06
2011-12-06,3926.75,4139.3,8960.63
2011-12-07,3818.92,3418.53,7066.09
2011-12-08,4091.48,4627.92,9488.29
2011-12-09,4551.34,4279.98,10499.15
2011-12-10,6184.74,4877.64,11564.67
2011-12-11,4778.25,4711.85,12267.35
2011-12-12,4074.61,4016.77,10248.56
2011-12-13,3900.75,4086.4,7746.21
2011-12-14,3634.2,4224.55,9233.75
2011-12-15,4246.47,5344.04,9979.9
2011-12-16,5003.24,4426.11,9913.69
2011-12-17,6163.41,5037.15,10400.07
2011-12-18,5005.02,3883.31,9940.46
2011-12-19,4478.16,3835.37,7746.44
2011-12-20,4816.39,4232.02,7637.81
2011-12-21,4371.92,4054.53,7125.93
2011-12-22,5064.91,4353.02,7819.21
2011-12-23,6026.68,5289.6,10650.31
2011-12-24,4127.52,4491.58,9393.89
2011-12-25,0.0,9.440000000000001,0.0
2011-12-26,4444.2300000000005,3688.22,8861.1
2011-12-27,3855.78,3393.03,7065.4800000000005
2011-12-28,4288.15,3415.37,6777.2699999999995
2011-12-29,4307.05,3963.89,6700.01
2011-12-30,5106.15,6129.83,10337.03
2011-12-31,5597.02,5384.97,10926.98
2012-01-01,2842.41,2719.02,5261.34
2012-01-02,4725.44,5133.05,11900.42
2012-01-03,4232.04,4752.14,10406.84
2012-01-04,4147.33,4277.8,8184.92
2012-01-05,4239.87,4727.4,9521.05
2012-01-06,4938.35,5223.82,10673.54
2012-01-07,6210.99,5136.7,11267.57
2012-01-08,4591.99,4148.04,12377.99
2012-01-09,3757.8,4472.66,10631.0
2012-01-10,3632.18,3778.1,8018.79
2012-01-11,4847.72,5048.82,11573.53
2012-01-12,2622.62,4511.91,8304.83
2012-01-13,4070.66,4342.13,9270.39
2012-01-14,6350.67,5839.15,14222.380000000001
2012-01-15,4591.84,4852.76,13208.29
2012-01-16,4333.4800000000005,4830.0,10230.29
2012-01-17,2388.28,3131.34,5857.72
2012-01-18,4318.96,4326.29,8434.49
2012-01-19,4297.63,4362.66,7663.38
2012-01-20,3768.42,5048.41,7864.28
2012-01-21,7248.4800000000005,5430.06,12168.29
2012-01-22,5309.06,4857.85,10015.59
2012-01-23,3712.33,3795.51,7171.23
2012-01-24,4208.66,3925.01,6744.25
2012-01-25,3958.44,3870.96,6396.56
2012-01-26,4242.51,4157.18,6871.52
2012-01-27,4850.68,4673.04,8361.98
2012-01-28,6318.48,6141.59,10559.9
2012-01-29,4704.96,4298.46,9385.3
2012-01-30,4159.35,4181.2,6630.7
2012-01-31,3878.36,4248.83,7434.4
2012-02-01,4682.61,5617.02,9138.79
2012-02-02,3970.23,5947.79,10808.02
2012-02-03,5714.54,6523.7,13491.68
2012-02-04,7429.8,6889.78,14113.32
2012-02-05,5391.68,6255.53,14176.88
2012-02-06,3996.28,5594.81,10967.710000000001
2012-02-07,4071.38,4378.51,8579.87
2012-02-08,4291.65,5122.6,10367.12
2012-02-09,4358.09,6153.66,11271.87
2012-02-10,3922.83,5259.97,9075.19
2012-02-11,6766.64,6473.0,14460.65
2012-02-12,6338.94,6801.57,15620.91
2012-02-13,4376.91,5091.54,10465.16
2012-02-14,3984.15,4444.21,8628.76
2012-02-15,4653.78,5053.63,10936.85
2012-02-16,4754.43,4528.59,9000.3
2012-02-17,5182.43,5172.68,9730.5
2012-02-18,6790.26,5557.58,12270.72
2012-02-19,6101.59,4861.01,11682.02
2012-02-20,4037.42,4051.12,8209.29
2012-02-21,4054.2,3753.83,7601.35
2012-02-22,4625.46,4258.74,7513.45
2012-02-23,4512.75,4279.76,7151.26
2012-02-24,4587.21,4398.3,7314.27
2012-02-25,7801.67,5627.17,11105.87
2012-02-26,6237.72,4768.89,10513.130000000001
2012-02-27,4205.13,3946.86,7937.68
2012-02-28,4121.88,4048.31,7407.45
2012-02-29,4494.94,4352.35,6760.04
2012-03-01,4997.49,5512.55,9327.52
2012-03-02,4421.51,6262.37,10957.65
2012-03-03,7349.61,6570.62,15068.14
2012-03-04,6382.06,5410.52,12994.6
2012-03-05,4599.69,5468.65,11291.630000000001
2012-03-06,4718.38,5338.09,11770.16
2012-03-07,4410.1,3951.09,8702.77
2012-03-08,4795.39,4881.53,10593.72
2012-03-09,5528.34,4737.85,12559.42
2012-03-10,6540.27,5275.27,12454.56
2012-03-11,5723.81,4738.69,13393.79
2012-03-12,4249.97,4154.58,10905.61
2012-03-13,4354.02,4048.28,8440.08
2012-03-14,3905.84,4166.71,9504.59
2012-03-15,4822.83,4946.4400000000005,10970.56
2012-03-16,5504.2,4056.12,10691.04
2012-03-17,6943.24,4966.45,11949.81
2012-03-18,5851.07,4895.86,10815.4
2012-03-19,4510.75,4320.06,8708.68
2012-03-20,4018.76,3424.06,8302.57
2012-03-21,4904.28,3814.34,7930.99
2012-03-22,4720.92,3615.79,7325.76
2012-03-23,4802.01,3756.87,8679.0
2012-03-24,6951.38,4918.45,11522.73
2012-03-25,5978.96,4762.64,10730.460000000001
2012-03-26,3559.36,3888.05,8102.33
2012-03-27,4161.51,3937.6,7037.95
2012-03-28,4453.53,3616.98,7120.61
2012-03-29,4309.47,3888.93,6647.62
2012-03-30,5298.8,4991.38,9337.45
2012-03-31,7166.81,6454.08,12203.29
2012-04-01,5785.94,4740.79,10551.24
2012-04-02,4441.26,4948.17,11243.72
2012-04-03,4667.81,5488.93,10891.3
2012-04-04,4329.76,4300.52,8427.06
2012-04-05,4664.42,4481.08,10557.210000000001
2012-04-06,5894.96,5409.07,11936.03
2012-04-07,7265.39,5137.5,12089.61
2012-04-08,3845.96,3667.6,10030.08
2012-04-09,4496.07,4710.02,10706.8
2012-04-10,4512.84,4295.57,8747.97
2012-04-11,4262.7300000000005,4659.14,10212.6
2012-04-12,4470.65,4648.3,10810.4
2012-04-13,5587.31,4503.45,10499.61
2012-04-14,6068.83,5586.39,13162.51
2012-04-15,5773.08,4898.56,13010.1
2012-04-16,4283.58,4385.54,9425.53
2012-04-17,4273.92,3734.16,8630.35
2012-04-18,3851.0,3704.51,7227.59
2012-04-19,3577.89,3188.62,6502.35
2012-04-20,5060.08,4252.8,7985.5
2012-04-21,6535.4400000000005,4280.78,11299.7
2012-04-22,5786.7,4114.36,10002.44
2012-04-23,4628.12,2989.35,7511.3
2012-04-24,4048.4700000000003,3041.68,7211.89
2012-04-25,4021.66,3087.84,7062.22
2012-04-26,4411.74,3239.57,7058.53
2012-04-27,5479.75,3900.19,9110.14
2012-04-28,7181.78,4936.25,10685.08
2012-04-29,6011.71,3913.25,10591.880000000001
2012-04-30,4596.65,3607.3,7705.09
2012-05-01,4815.79,4737.78,9591.83
2012-05-02,4617.21,4324.52,11472.9
2012-05-03,4963.57,5712.17,11642.97
2012-05-04,5472.54,4959.29,11146.51
2012-05-05,6367.29,6525.71,13985.02
2012-05-06,5396.85,5927.71,13911.710000000001
2012-05-07,4189.22,4224.25,9857.24
2012-05-08,4267.45,4898.88,10597.12
2012-05-09,4156.35,5406.79,10753.7
2012-05-10,4440.56,4769.81,8719.5
2012-05-11,5136.62,5677.67,11701.7
2012-05-12,6673.26,6254.4400000000005,14513.05
2012-05-13,4837.5,3925.61,10091.13
2012-05-14,4270.79,5305.36,11943.04
2012-05-15,4368.34,6150.5,11467.8
2012-05-16,4991.88,5432.45,9469.72
2012-05-17,4599.37,4392.24,8800.74
2012-05-18,5028.26,5193.02,9826.960000000001
2012-05-19,6656.32,5561.14,11266.77
2012-05-20,5775.43,5368.74,11283.37
2012-05-21,4844.26,4840.28,8401.97
2012-05-22,4667.77,4541.24,7724.25
2012-05-23,4714.47,5043.22,7515.7300000000005
2012-05-24,4773.45,4660.86,7892.41
2012-05-25,5978.29,6867.02,9639.68
2012-05-26,6664.6900000000005,6904.23,10861.73
2012-05-27,5047.04,5429.99,8910.26
2012-05-28,4472.41,4903.97,8299.85
2012-05-29,4457.78,4936.36,7558.07
2012-05-30,4415.91,5590.7300000000005,7035.62
2012-05-31,4832.97,6674.27,6953.61
2012-06-01,6384.57,9242.31,11744.82
2012-06-02,6280.29,10983.48,14021.32
2012-06-03,5870.53,9486.79,14101.77
2012-06-04,4705.34,6958.37,9888.09
2012-06-05,4395.88,8771.51,9997.26
2012-06-06,4539.88,9288.84,10429.45
2012-06-07,4740.59,7052.36,8816.08
2012-06-08,5959.51,9508.74,12599.85
2012-06-09,6467.99,11358.37,14175.04
2012-06-10,5642.9400000000005,8846.78,12282.42
